	factor	influence_score	target_score	G_score	direct_targets	factor_fc	padj	KC2Hep	HSC2Hep	LSEC2Hep	TotalSpec	Newinfluence
151	Nr6a1	0.669049461075323	72.2578689261371	0.549199634265855	422	0.549199634265855	6.22641857630783e-161	0	1	1	2	0.584524730537662
152	Nrbf2	0.536028746158057	135.64770594832	0.0878157599900228	1378.66666666667	0.0878157599900228	5.65628890163567e-65	0	1	0	1	0.384007186539514
153	Nrf1	0.417010073260073	78.4201211762669	0.146060881552143	487.333333333333	0.146060881552143	6.39710166037283e-298	NA	NA	NA	0	0.25
154	Onecut1	0.837175276830449	411.360015478139	0.137015929320373	21725.6666666667	0.137015929320373	3.12641880890049e-148	1	1	1	3	0.877881457622837
155	Onecut2	0.994047619047619	486.878760664479	0.787372969646097	27014.6666666667	0.787372969646097	0	1	1	1	3	0.995535714285714
156	Paxip1	0.410987958401752	203.94021953454	0.0123386672811203	6314.33333333333	0.0123386672811203	3.46516443075925e-25	NA	NA	NA	0	0.25
157	Pbx1	0.272321428571429	52.7828813547949	0.126777228696396	473.333333333333	0.126777228696396	0	1	0	0	1	0.318080357142857
158	Pbx3	0.319139194139194	117.476197290823	0.0487477714050416	1813.33333333333	0.0487477714050416	9.9366002927204e-16	NA	NA	NA	0	0.25
159	Phf21a	0.298534798534799	35.0017845071268	0.172339302859936	103	0.172339302859936	6.7513295222659e-47	NA	NA	NA	0	0.25
160	Pias2	0.238095238095238	46.7025967200761	0.0910247704557651	349.666666666667	0.0910247704557651	1.8958050247824e-20	1	0	0	1	0.30952380952381
161	Polr3a	0.252772251694665	45.5942014132693	0.059064898207721	280.666666666667	0.059064898207721	6.4603920064265e-58	NA	NA	NA	0	0.25
162	Polr3g	0.36429518757105	79.4274089258533	0.0787078127624282	702	0.0787078127624282	4.96286914610563e-90	NA	NA	NA	0	0.25
163	Pou2f1	0.192384004884005	24.658353248558	0.0776124954887064	56	0.0776124954887064	6.00282959110027e-111	NA	NA	NA	0	0.25
164	Ppara	0.936973706370258	258.767675132358	1.2797939687659	7995.66666666667	1.2797939687659	1.79270187519434e-283	1	1	1	3	0.952730279777694
165	Ppard	0.456349206349206	120.781960837893	0.107455176582146	1379	0.107455176582146	0	1	0	0	1	0.364087301587302
166	Pparg	0.654621121215949	181.199164918408	0.109704754839241	2911.33333333333	0.109704754839241	8.5288465355789e-118	0	1	0	1	0.413655280303987
167	Ppargc1a	0.59458680687129	116.057311158494	0.136157132981971	1109.66666666667	0.136157132981971	2.39680667658196e-127	NA	NA	NA	0	0.25
168	Prdm10	0.160009052250432	0.00812288572234307	0.100902803787151	42	0.100902803787151	2.67574633825897e-62	NA	NA	NA	0	0.25
169	Prox1	0.178571428571429	1.14424047926523	0.297118732578603	14.3333333333333	0.297118732578603	0	NA	NA	NA	0	0.25
170	Pten	0.229052197802198	55.4610205234914	0.0754015135346507	247.333333333333	0.0754015135346507	0.00349038424062723	NA	NA	NA	0	0.25
171	Rab11fip3	0.179029304029304	45.7172687502857	0.0460871190283915	227.666666666667	0.0460871190283915	7.58258714993643e-10	NA	NA	NA	0	0.25
172	Rarb	0.211309523809524	62.486156629097	0.0352900811870943	690.666666666667	0.0352900811870943	0	NA	NA	NA	0	0.25
173	Rbfox2	0.728885099574755	271.263445676826	0.42534181594036	10288	0.436656380701724	0.107437729416667	1	0	1	2	0.614442549787377
174	Rbpj	0.18040293040293	65.7634849761507	0.0249458924379261	393.333333333333	0.0249458924379261	4.2829767451534e-09	NA	NA	NA	0	0.25
175	Rfx3	0.310782967032967	33.4796322015962	0.158844195725361	169.666666666667	0.158844195725361	0	NA	NA	NA	0	0.25
176	Rfx7	0.240113574165298	22.9913149805957	0.180182599113103	18.3333333333333	0.180182599113103	7.58367050191513e-32	NA	NA	NA	0	0.25
177	Rora	0.606646825396825	208.791618161033	0.520503376161559	7907	0.520503376161559	0	1	0	1	2	0.553323412698413
178	Rorc	0.896837238432066	310.258288688874	0.372942836593662	12817.6666666667	0.372942836593662	0	1	1	1	3	0.92262792882405
179	Rreb1	0.496855395562292	81.4463245526142	0.195620517712801	500.333333333333	0.195620517712801	1.61351626091044e-08	NA	NA	NA	0	0.25
180	Rxra	0.269230769230769	43.0478981635724	0.0743164122191795	195.333333333333	0.0743164122191795	1.64972884830871e-22	NA	NA	NA	0	0.25
181	Rxrb	0.109195402298851	19.6287061134499	0.0149424522220495	119.666666666667	0.0149424522220495	4.6796919411054e-40	NA	NA	NA	0	0.25
182	Sall1	0.370181781819713	63.5834856415788	0.119005799998477	668.666666666667	0.119005799998477	1.87983038538275e-126	NA	NA	NA	0	0.25
183	Scap	0.280048734790114	30.037233825705	0.114565726600637	51	0.114565726600637	1.45456281293301e-87	NA	NA	NA	0	0.25
184	Setdb1	0.530843438171024	154.073423203571	0.0754788642950487	2805.66666666667	0.0754788642950487	5.49528804219173e-59	NA	NA	NA	0	0.25
185	Sin3a	0.270439928845101	96.3938418858155	0.0308446898908873	3894.66666666667	0.0308446898908873	9.28949450153077e-34	NA	NA	NA	0	0.25
186	Sin3b	0.208812260536398	53.9463274146208	0.0190986290613688	2071.66666666667	0.0190986290613688	2.97071914312648e-26	NA	NA	NA	0	0.25
187	Slc20a1	0.517563734158562	220.226048913278	0.0368023874481963	6378.33333333333	0.0368023874481963	4.08551868381533e-35	NA	NA	NA	0	0.25
188	Slc20a2	0.939734116458254	357.185759442586	0.415809193572479	18954.3333333333	0.415809193572479	2.82307714275191e-171	1	1	1	3	0.954800587343691
189	Slc22a1	0.866997705359774	162.360940124753	0.563853591440746	2143.33333333333	0.563853591440746	0	1	1	1	3	0.900248279019831
190	Smad2	0.125839438339438	58.1075545853319	0.0103329314143355	170.666666666667	0.0103329314143355	2.30851576373079e-41	NA	NA	NA	0	0.25
191	Smad3	0.462835775335775	101.706562302183	0.152088167945764	620.666666666667	0.152088167945764	0	1	0	0	1	0.365708943833944
192	Smad4	0.144345238095238	42.5728201209413	0.0247147285207528	275	0.0247147285207528	2.40589398908436e-205	NA	NA	NA	0	0.25
193	Smad9	0.767697939034146	229.560499675376	0.144959504469426	5381.66666666667	0.144959504469426	5.0043392637501e-149	1	1	0	2	0.633848969517073
