	factor	influence_score	target_score	G_score	direct_targets	factor_fc	padj	KC2LSEC	HSC2LSEC	Hep2LSEC	TotalSpec	Newinfluence
92	Nmi	0.602592058147614	217.328940962652	0.0986085661457802	6756.33333333333	0.0986085661457802	3.97595578233397e-31	1	0	0	1	0.400648014536903
93	Tprgl	0.601961413072524	65.4521212646311	0.710036682937815	248	0.710036682937815	0	0	0	1	1	0.400490353268131
94	Atf4	0.598191794488091	87.1467259356014	0.329342664016858	983.333333333333	0.329342664016858	1.05926031889508e-298	0	1	0	1	0.399547948622023
95	Mdfic	0.586850872036057	78.1348577614036	0.419307419080456	254	0.419307419080456	0	1	0	0	1	0.396712718009014
96	Mbd1	0.576521832077388	91.8680021524932	0.319608419415969	720	0.319608419415969	1.48370044544124e-78	1	0	0	1	0.394130458019347
97	Tcf7l1	0.576288457769939	126.587114695547	0.300447873816577	1963.66666666667	0.300447873816577	3.4573499970279e-25	1	0	0	1	0.394072114442485
98	Zfp652	0.564439812587961	47.3264145230279	0.511222287102137	138	0.511222287102137	6.37977026167857e-292	1	0	0	1	0.39110995314699
99	Gabpb1	0.554317424687795	222.564700209007	0.056097937497254	10652.3333333333	0.0624494958992375	0.166613181506403	1	0	0	1	0.388579356171949
100	Maz	0.544759766981989	103.695588543174	0.174291444511536	541.333333333333	0.174291444511536	1.35610611691906e-143	0	1	0	1	0.386189941745497
101	Klf10	0.535262679707124	128.662002155095	0.119432631564463	1369.66666666667	0.119432631564463	1.35671135998259e-67	0	1	0	1	0.383815669926781
102	Hbp1	0.534054834054834	163.733659214092	0.0720521309628183	2009.66666666667	0.0720521309628183	2.22552437500631e-19	0	1	0	1	0.383513708513709
103	Irf1	0.522826145048367	69.1651807858019	0.432933292143998	316.333333333333	0.432933292143998	7.6217331674792e-211	0	0	1	1	0.380706536262092
104	Smc3	0.503302869969537	97.605571351776	0.215833028296924	1492	0.215833028296924	1.08071851832126e-116	1	0	0	1	0.375825717492384
105	Stat6	0.500179929809559	120.012604761195	0.189443131769478	1667.33333333333	0.189443131769478	7.85650939638463e-108	0	0	1	1	0.37504498245239
106	Rarb	0.485828300643115	92.8000694581516	0.243371821275572	1905.33333333333	0.243371821275572	0	1	0	0	1	0.371457075160779
107	Zbtb4	0.484812855183226	90.404739529349	0.236780879389984	803.666666666667	0.236780879389984	5.8931734552487e-128	0	0	1	1	0.371203213795806
108	Scand1	0.48124632569077	81.9599177947273	0.22546726117622	525.333333333333	0.22546726117622	3.11601639825345e-179	0	1	0	1	0.370311581422693
109	Klf9	0.474223718668163	110.585558204919	0.189926484535675	469	0.189926484535675	2.39302311834751e-09	1	0	0	1	0.368555929667041
110	Id2	0.45716245345875	94.3484008336397	0.293113546114543	904	0.293113546114543	1.58622926191561e-84	0	1	0	1	0.364290613364687
111	Zeb1	0.453679653679654	57.5142741026278	0.441046320927856	407	0.441046320927856	1.58912445403314e-201	1	0	0	1	0.363419913419913
112	Nfib	0.452603637788823	125.602781328254	0.652437331758708	9443	0.652437331758708	5.80490412725157e-272	1	0	0	1	0.363150909447206
113	Zfhx2	0.449667753371457	92.1928357312386	0.129555190535013	1008	0.129555190535013	1.20954753964544e-135	0	1	0	1	0.362416938342864
114	Nfkbib	0.445917731102916	135.200014531593	0.0764609730946574	1529.33333333333	0.0764609730946574	1.49013505650483e-48	0	1	0	1	0.361479432775729
115	Ewsr1	0.415402704291593	164.950607794098	0.0546788228535794	5274	0.0546788228535794	3.49503014700733e-24	0	1	0	1	0.353850676072898
116	Gtf2i	0.414257210553507	61.0569082837706	0.269269520821235	194	0.269269520821235	6.19771673836377e-71	1	0	0	1	0.353564302638377
117	Atf3	0.412144371403631	93.9629397608373	0.124385041329873	1159.33333333333	0.124385041329873	9.50500974101013e-22	0	1	0	1	0.353036092850908
118	Hoxb3	0.408609908609909	94.0307333861265	0.145801321603817	563	0.145801321603817	2.47378642974886e-52	1	0	0	1	0.352152477152477
119	Cebpg	0.398843817362336	38.5618909979299	0.344753993990166	383.333333333333	0.344753993990166	0	0	1	0	1	0.349710954340584
120	Ebna1bp2	0.374679778383482	106.765424457385	0.0872717341938845	1540	0.0872717341938845	6.94873739671837e-59	0	1	0	1	0.343669944595871
121	Nfyb	0.366819874227282	54.6951851804631	0.142237710738178	278.666666666667	0.142237710738178	6.74030704809333e-78	0	1	0	1	0.34170496855682
122	Trps1	0.364315108759553	119.749275449865	0.0854590603922606	1121	0.0854590603922606	7.9515868308406e-34	0	0	1	1	0.341078777189888
123	Myef2	0.357223023889691	106.001063318549	0.0586073492717189	1232.66666666667	0.0586073492717189	9.90179284727033e-37	1	0	0	1	0.339305755972423
124	Nfia	0.321789321789322	72.4822502748655	0.246436638979662	2912	0.246436638979662	0	1	0	0	1	0.33044733044733
125	Etv1	0.316106390180464	170.16785354214	0.0563663987613004	7271.33333333333	0.0563663987613004	2.84192495331839e-36	0	0	1	1	0.329026597545116
126	Mafg	0.312169312169312	41.7578593070177	0.190738092560468	193	0.190738092560468	1.92203288505296e-256	0	1	0	1	0.328042328042328
127	Nfix	0.305194805194805	63.6482824641051	0.123990023421097	2068.66666666667	0.123990023421097	7.00419955397937e-20	1	0	0	1	0.326298701298701
128	Tcf12	0.302834339871377	52.1950183596014	0.19965929780274	207	0.19965929780274	2.95999449049906e-42	1	0	0	1	0.325708584967844
129	Foxp1	0.297258297258297	39.2507041225483	0.184170764420962	384.333333333333	0.184170764420962	0	1	0	0	1	0.324314574314574
130	Nfat5	0.296706037446778	51.5783473998127	0.153711713065464	225.666666666667	0.153711713065464	1.9850854361969e-80	1	0	0	1	0.324176509361695
131	Alb	0.295815295815296	33.8759405838972	0.364557276764167	262.666666666667	0.364557276764167	0	1	0	0	1	0.323953823953824
132	Tead1	0.284271284271284	59.3738001959393	0.0814233514056207	1846.33333333333	0.0814233514056207	0	1	0	0	1	0.321067821067821
133	Cbx5	0.284057506279728	66.0513517029523	0.0782884362700337	2251.33333333333	0.0782884362700337	9.41129298690147e-08	1	0	0	1	0.321014376569932
134	Rora	0.27994227994228	53.4611012401585	0.0801180130938343	1221.66666666667	0.0801180130938343	0	1	0	0	1	0.31998556998557
135	Zfp148	0.275613275613276	54.2994509469155	0.0704539505378503	1141.66666666667	0.0704539505378503	0	1	0	0	1	0.318903318903319
136	Rbfox2	0.26984126984127	33.79597383303	0.116183477834442	273.666666666667	0.116183477834442	0	1	0	0	1	0.317460317460317
137	Zeb2	0.252400548696845	37.0666974792195	0.364654983469993	168.333333333333	0.364654983469993	0	0	0	1	1	0.313100137174211
138	Cux1	0.251082251082251	37.9040005332052	0.0725489059268463	307.666666666667	0.0725489059268463	0	1	0	0	1	0.312770562770563
139	Nf1	0.24963924963925	45.2414482024003	0.0564555904175947	773.333333333333	0.0564555904175947	0	1	0	0	1	0.312409812409812
140	Pias2	0.245310245310245	91.7569629394194	0.0319277078495843	6854	0.0319277078495843	0	1	0	0	1	0.311327561327561
141	Ahctf1	0.151515151515152	22.6435421969997	0.046411582277826	92	0.046411582277826	0	NA	NA	NA	0	0.25
142	Arid2	0.199134199134199	27.6791071347507	0.052788418763816	149.333333333333	0.052788418763816	0	NA	NA	NA	0	0.25
143	Arid5b	0.0995670995670996	12.3180211204259	0.058665353537631	24	0.058665353537631	0	NA	NA	NA	0	0.25
144	Arntl	0.212639623750735	66.2229000011791	0.0645297316202551	158	0.0645297316202551	7.0259602025896e-16	NA	NA	NA	0	0.25
145	Atf2	0.226551226551227	36.2174776082568	0.0504644625078083	362.333333333333	0.0504644625078083	0	NA	NA	NA	0	0.25
146	Atf5	0.215007215007215	63.1982413049403	0.0342844468449064	326.666666666667	0.0342844468449064	6.48497651389633e-08	NA	NA	NA	0	0.25
147	Atf6	0.157287157287157	25.173141607767	0.0422510251002333	121	0.0422510251002333	0	NA	NA	NA	0	0.25
148	Atf6b	0.51406659184437	117.47151787799	0.134818254155479	1025	0.134818254155479	1.16792611832454e-116	NA	NA	NA	0	0.25
149	Bbx	0.159424937202715	47.976484782875	0.0703273728330247	157	0.0703273728330247	1.06039118994789e-109	NA	NA	NA	0	0.25
150	Bcl3	0.207936507936508	52.7974079966923	0.0215372756240555	1529	0.0215372756240555	2.05420345761509e-43	NA	NA	NA	0	0.25
151	Bclaf1	0.347643988384729	61.2121315105225	0.237108364163619	90	0.237108364163619	7.98713463217637e-35	NA	NA	NA	0	0.25
152	Bdp1	0.232406962036592	48.6985550097345	0.0990066097453019	211.333333333333	0.0990066097453019	1.64626539549908e-29	NA	NA	NA	0	0.25
153	Bhlhe40	0.47932944969982	92.5954874518	0.16101444555531	373	0.170787795375614	0.19017178779879	NA	NA	NA	0	0.25
154	Cbfb	0.170625122476974	44.5534552035206	0.109731150874488	81	0.109731150874488	2.58784711757473e-102	NA	NA	NA	0	0.25
155	Ccdc6	0.00858674932749007	9.05094646326695	0.00901843247049423	12.3333333333333	0.0154116048243601	0.309391657363906	NA	NA	NA	0	0.25
156	Ccnt2	0.478071722516167	125.67463274931	0.0832638051028172	1483	0.0832638051028172	3.45738265034423e-29	NA	NA	NA	0	0.25
157	Cdc5l	0.242481249888657	55.5427871925088	0.143604081390768	92	0.143604081390768	1.40874726380027e-119	NA	NA	NA	0	0.25
158	Cebpa	0.0619047619047619	20.808345008883	0.036460255191514	33.6666666666667	0.036460255191514	6.0369132021465e-80	NA	NA	NA	0	0.25
159	Cebpd	0.486647782944079	78.1606113156437	0.3397383091575	224.333333333333	0.3397383091575	1.08858453826829e-50	NA	NA	NA	0	0.25
160	Cebpz	0.053968253968254	21.0487342750869	0.034062806406155	37.3333333333333	0.034062806406155	0.000196149790544389	NA	NA	NA	0	0.25
161	Cenpb	0.457271123937791	82.5955876297429	0.250028697198319	384	0.250028697198319	3.55390226526787e-123	NA	NA	NA	0	0.25
162	Chd1	0.0611832611832612	0.390235756783726	0.0520108995871086	3.33333333333333	0.0520108995871086	9.9261322394842e-37	NA	NA	NA	0	0.25
163	Chd2	0.088023088023088	8.03965995363759	0.0578780090557993	6.33333333333333	0.0578780090557993	0	NA	NA	NA	0	0.25
164	Cic	0.325386136497248	83.4691554314085	0.107475522429449	490	0.107475522429449	1.18317474434846e-86	NA	NA	NA	0	0.25
165	Clock	0.263461778276593	31.7528692730154	0.206826218034211	31.3333333333333	0.206826218034211	5.5567734448218e-64	NA	NA	NA	0	0.25
166	Creb1	0.276609124757273	78.1019832338741	0.106317827684105	277.666666666667	0.106317827684105	1.81502022642512e-31	NA	NA	NA	0	0.25
167	Creb3	0.260023515579071	56.0004083823051	0.157850080705854	103.666666666667	0.157850080705854	1.79869986408157e-120	NA	NA	NA	0	0.25
168	Creb3l1	0.360392282614505	114.822599225931	0.0725973871092072	520.333333333333	0.0725973871092072	0.00134201458122758	NA	NA	NA	0	0.25
169	Crebbp	0.261593002333743	61.1984215086863	0.13452445375251	290.333333333333	0.13452445375251	1.03695520586038e-28	NA	NA	NA	0	0.25
170	Crebzf	0.0813852813852814	44.6781629371677	0.0226623725948487	136.333333333333	0.0226623725948487	5.57695077345693e-15	NA	NA	NA	0	0.25
171	Crem	0.0995670995670996	26.3643934640412	0.0175736995890088	116.666666666667	0.0175736995890088	9.63259048667647e-164	NA	NA	NA	0	0.25
172	Crtc2	0.381645377941674	101.90211594839	0.109106501693539	617.666666666667	0.109106501693539	1.90104005628767e-91	NA	NA	NA	0	0.25
173	Crtc3	0.201699535032868	60.4753703021486	0.056562779824349	256.333333333333	0.0586081891488307	0.269382499204157	NA	NA	NA	0	0.25
174	Ctcf	0.394359823989454	62.2622235676441	0.218158278263386	192	0.218158278263386	7.66642361022693e-81	NA	NA	NA	0	0.25
175	Cxxc1	0.571966579373987	130.099728634766	0.115860770559076	1435.66666666667	0.115860770559076	3.1360325538685e-57	NA	NA	NA	0	0.25
176	Ddit3	0.190620490620491	49.5933696522426	0.0505979889915877	193	0.0505979889915877	7.5423709546961e-54	NA	NA	NA	0	0.25
177	E2f3	0.186580086580087	66.6867951509627	0.0162762168087282	323.666666666667	0.0162762168087282	4.74485152960883e-23	NA	NA	NA	0	0.25
178	Eno1	0.0253968253968254	19.7672989851137	0.0231013536317227	17.3333333333333	0.0231013536317227	1.61902122978597e-31	NA	NA	NA	0	0.25
179	Ep300	0.262538969946377	83.7035746656291	0.100749554759873	398.333333333333	0.100749554759873	1.10059923083485e-45	NA	NA	NA	0	0.25
180	Erf	0.511372989150767	142.121434651248	0.0841810548765689	854	0.0841810548765689	5.67798363599163e-65	NA	NA	NA	0	0.25
181	Esrra	0.125396825396825	35.5107672893741	0.0168835507110594	192.333333333333	0.0168835507110594	8.41381717551733e-40	NA	NA	NA	0	0.25
182	Etv6	0.0158730158730159	14.2592410566411	0.00853081953985297	16.6666666666667	0.00853081953985297	7.45010974166263e-29	NA	NA	NA	0	0.25
183	Ezh1	0.559070422033385	99.6581156719683	0.212159802824786	539	0.212159802824786	2.35860405414907e-141	NA	NA	NA	0	0.25
184	Fosl2	0.289339604154419	64.112062799742	0.119637138111156	243.666666666667	0.119637138111156	2.01975129482792e-124	NA	NA	NA	0	0.25
185	Foxj2	0.239662943366647	62.2683045793283	0.0812870360045973	276.333333333333	0.0812870360045973	4.42781946615427e-72	NA	NA	NA	0	0.25
186	Foxj3	0.0245310245310245	8.69124513535607	0.0227074986332978	8.66666666666667	0.0227074986332978	1.62215477510191e-191	NA	NA	NA	0	0.25
187	Foxk1	0.00288600288600289	0	0.00890461655749087	0.333333333333333	0.00890461655749087	1.01258817840681e-74	NA	NA	NA	0	0.25
188	Foxk2	0.062049062049062	10.3875446772642	0.0319135856075206	17.3333333333333	0.0319135856075206	0	NA	NA	NA	0	0.25
189	Foxn2	0.0125541125541126	30.6900807643643	0.0078997829200486	38.6666666666667	0.0078997829200486	2.29554909458323e-15	NA	NA	NA	0	0.25
190	Foxn3	0.178160796679315	32.1686029460755	0.150301992297152	52.3333333333333	0.150301992297152	4.079570490678e-06	NA	NA	NA	0	0.25
191	Foxo1	0.134920634920635	19.8131632369328	0.0970536254592957	52	0.0970536254592957	3.77665924097623e-224	NA	NA	NA	0	0.25
192	Fubp1	0.269737943812018	56.2021181681941	0.145402177779447	199.666666666667	0.145402177779447	1.18523536576416e-18	NA	NA	NA	0	0.25
193	Gabpa	0.372853758038943	117.554453223655	0.0704325843720174	680.666666666667	0.0704325843720174	8.05580238873142e-54	NA	NA	NA	0	0.25
194	Gabpb2	0.154401154401154	62.834934853089	0.0017323640589041	1821.66666666667	0.0017323640589041	1.50019494440077e-09	NA	NA	NA	0	0.25
195	Gmeb1	0.105339105339105	32.8142449310191	0.00889048944070783	178.666666666667	0.00889048944070783	6.97953438188513e-57	NA	NA	NA	0	0.25
196	Gzf1	0.112698412698413	35.4836876725212	0.0107942704635883	281.666666666667	0.0107942704635883	3.27710271936753e-21	NA	NA	NA	0	0.25
197	Hdac2	0.413519676482639	131.648543039277	0.0791940159703596	1907.66666666667	0.0791940159703596	6.61541896972897e-32	NA	NA	NA	0	0.25
