	factor	influence_score	target_score	G_score	direct_targets	factor_fc	padj	HSC2KC	LSEC2KC	Hep2KC	TotalSpec	Newinfluence
171	Tcf3	0.293893129770992	72.7659223267215	0.0894641420624183	431.666666666667	0.0894641420624183	3.66055355758723e-56	NA	NA	NA	0	0.25
172	Tcf4	0.0864197530864197	28.5988860988791	0.0476499757972267	120.666666666667	0.0476499757972267	3.20667399350623e-100	NA	NA	NA	0	0.25
173	Tcf7l2	0.524612194892093	50.593982334422	0.570393732894478	245.333333333333	0.570393732894478	1.96213370351534e-78	NA	NA	NA	0	0.25
174	Tfeb	0.350873621713316	165.470807582583	0.0330689831447575	8931	0.0330689831447575	2.05002213994595e-33	NA	NA	NA	0	0.25
175	Thap11	0.171849967015361	72.4613602031624	0.0361671115201545	421	0.0361671115201545	2.46146200153039e-15	NA	NA	NA	0	0.25
176	Thap3	0.00205761316872428	0.102954795487638	0.00230847388767223	1.66666666666667	0.00230847388767223	1.2028667043505e-21	NA	NA	NA	0	0.25
177	Thrb	0.231111111111111	31.6883749512647	0.063528786442529	374	0.063528786442529	0	NA	NA	NA	0	0.25
178	Topors	0.0272358872867779	26.9650499248788	0.00812036843581963	102.666666666667	0.00812036843581963	2.42967371660555e-06	NA	NA	NA	0	0.25
179	Tprgl	0.272782961078126	43.3816338382158	0.109782202571037	308.333333333333	0.109782202571037	3.00672379381898e-22	NA	NA	NA	0	0.25
180	Trim28	0.430907548770144	164.179485520129	0.028281538691648	11742.6666666667	0.028281538691648	3.6432969813305e-10	NA	NA	NA	0	0.25
181	Trp53	0.227892438664279	35.9046826374726	0.106328315124996	226	0.106328315124996	9.99431421388193e-68	NA	NA	NA	0	0.25
182	Trps1	0.208195897339239	46.7476538082511	0.0984766700122227	191.333333333333	0.104985474822204	0.333333333333333	NA	NA	NA	0	0.25
183	Ube2a	0.235882260547231	67.2890075618479	0.0984594930637632	472	0.0984594930637632	9.04766787260179e-17	NA	NA	NA	0	0.25
184	Ube2b	0.230594037633902	36.4432320460962	0.163842596841348	214.333333333333	0.163842596841348	3.794790183212e-111	NA	NA	NA	0	0.25
185	Usf2	0.409316746772217	107.105983178402	0.127278260332465	778.333333333333	0.127278260332465	5.14141295402407e-10	NA	NA	NA	0	0.25
186	Vezf1	0.0699588477366255	31.7562989527186	0.033940158931806	145	0.033940158931806	6.47910164560457e-143	NA	NA	NA	0	0.25
187	Xbp1	0.245217227405523	30.9923773877015	0.167560573264619	148.333333333333	0.167560573264619	1.14064775782773e-85	NA	NA	NA	0	0.25
188	Ybx1	0.317594948638206	27.9813849554279	0.384833175557838	103.333333333333	0.384833175557838	9.6671509062532e-197	NA	NA	NA	0	0.25
189	Ybx3	0.00617283950617284	10.9946534597455	0.0010681265940964	37.6666666666667	0.0010681265940964	2.1015152569249e-06	NA	NA	NA	0	0.25
190	Yy1	0.0330788804071247	25.4658491115631	0.0103785999531739	74.6666666666667	0.0103785999531739	8.6783581464383e-11	NA	NA	NA	0	0.25
191	Zbtb1	0.18121320642101	93.2429087685522	0.0269436198236476	1241.33333333333	0.0319668627778156	0.19230388235139	NA	NA	NA	0	0.25
192	Zbtb18	0.187474004963403	76.9619729598115	0.0670248397353372	346.333333333333	0.0670248397353372	0.0028074442000714	NA	NA	NA	0	0.25
193	Zbtb4	0.286746458078095	2.69618101508347	0.35782174252907	25	0.35782174252907	5.76092593430783e-207	NA	NA	NA	0	0.25
194	Zfp263	0.293688939151195	111.908559341715	0.0414358964836602	1809.66666666667	0.0459451545066288	0.318838097203485	NA	NA	NA	0	0.25
